Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI,MACD,MACD_Signal,Bollinger_Width,MFI,EMA_20,ATR_14,ADX_14,OBV,Stoch_%K,Stoch_%D,Sentiment_T1,Sentiment_T2,Sentiment_T3,Sentiment_3DayAVG
2022-02-18,13735.400390625,13762.400390625,13465.5595703125,13548.0703125,4501940000,0.0,0.0,37.60555774972818,-248.1173007437701,-249.26710910069343,1253.3752291632882,49.73804546386572,14090.924579913097,367.78145500983055,45.47763738927002,-18176870000,7.903327795737548,27.92449144989676,,,,
2022-02-22,13424.3603515625,13618.7197265625,13249.650390625,13381.51953125,4849170000,0.0,0.0,35.4391784201768,-275.59126208543785,-254.53193969764231,1347.1133859035072,42.33329673658686,14023.362194326131,367.87344650466406,45.65789385971765,-23026040000,10.466559237048182,8.173484004233584,,,,
2022-02-23,13511.75,13533.7802734375,13032.169921875,13037.490234375,4639330000,0.0,0.0,31.413556256231473,-321.41973682366006,-267.9094991228459,1522.5990285814005,35.00478327658465,13929.46962671174,377.4260825802238,46.11632996951897,-27665370000,0.3601157288212225,6.24333425386898,,,,
2022-02-24,12587.8798828125,13486.1103515625,12587.8798828125,13473.58984375,6180200000,0.0,0.0,40.62133266553198,-318.8737611633096,-278.1023515309386,1536.702847831781,34.19207597430298,13886.052504524909,414.62639587806495,47.04539351775209,-21485170000,46.090405529017175,18.972360164962183,,,,
2022-02-25,13485.259765625,13696.8603515625,13358.2900390625,13694.6201171875,4628720000,0.0,0.0,44.675352612180305,-295.61311726729946,-281.6045046782108,1466.6822100842546,34.54962678465846,13867.820848588011,409.1938184939175,47.11395111167385,-16856450000,57.59233661957516,34.680952625804515,,,,
2022-02-28,13570.830078125,13810.6396484375,13549.900390625,13751.400390625,5928130000,0.0,0.0,45.70095269389718,-269.49067511139583,-279.1817387648478,1468.3049514774757,36.0380929318385,13856.733185924866,398.58992130238767,46.76491630265243,-10928320000,60.5470576278077,54.74326659213333,,,,
2022-03-01,13716.7001953125,13777.0400390625,13441.3203125,13532.4599609375,6131350000,0.0,0.0,42.43439329894941,-263.41858889467585,-276.02910879081344,1472.8962295767233,28.819033247077243,13825.850021640355,394.0991931066814,46.5999830563945,-17059670000,49.15387742656774,55.76442389131686,,,,
2022-03-02,13597.5302734375,13796.5498046875,13493.91015625,13752.01953125,5246390000,0.0,0.0,46.55960335741789,-238.14461159003983,-268.45220935065873,1412.4742777362517,29.0788099210273,13818.818546365084,387.5663684874542,46.37038850586041,-11813280000,60.57927634922248,56.76007046786597,,,,
2022-03-03,13837.58984375,13837.58984375,13472.6396484375,13537.9404296875,5092580000,0.0,0.0,43.30130707799331,-232.7066988795432,-261.3031072564356,1336.172679196825,29.233096146926695,13792.068249538648,385.9509275463861,45.988143162391545,-16905860000,57.27326460351624,55.66880612643548,,,,
2022-03-04,13455.23046875,13486.7099609375,13224.98046875,13313.4404296875,5343900000,0.0,0.0,40.12973661099214,-243.70312967468635,-257.7831117400858,1401.1018147696525,29.28314494672503,13746.484647648063,380.7372870743228,46.04133394873764,-22249760000,46.04247086301979,54.63167060525283,,,,
